Data File Name,2100 expert_mRNA Nano_DE13804677_2022-12-15_13-06-18.xad
Data File Path,C:\Users\BioAnalyzer\Desktop\Gel images\Carmen\100
Date Created,"Thursday, December 15, 2022 12:06:18 PM"
Date Last Modified,"Thursday, December 15, 2022 12:37:58 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,mRNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,mRNA Nano
Assay Version,2.5
 
Number of Samples Run,12
 
Sample Name,100T_2uM
Number of Events,1420
 
Time,Value
14,-0.0153046
14.05,-9.82106E-03
14.1,3.380438E-03
14.15,-8.322575E-03
14.2,3.446485E-04
14.25,4.337227E-02
14.3,6.663607E-02
14.35,7.531415E-02
14.4,8.728413E-02
14.45,6.822584E-02
14.5,0.0449751
14.55,9.858604E-03
14.6,-6.748014E-03
14.65,-1.053447E-02
14.7,-1.317613E-03
14.75,1.823676E-02
14.8,1.986575E-02
14.85,4.087763E-03
14.9,-1.966592E-02
14.95,-2.783423E-02
15,-1.734875E-02
15.05,-5.771192E-03
15.1,6.821129E-03
15.15,4.521255E-03
15.2,5.073004E-04
15.25,-2.366469E-03
15.3,7.458614E-03
15.35,1.373387E-02
15.4,3.208978E-04
15.45,2.934981E-03
15.5,8.599699E-03
15.55,-2.053663E-03
15.6,-0.0123977
15.65,-1.222743E-02
15.7,-1.030201E-02
15.75,-3.952764E-03
15.8,-1.433759E-02
15.85,-0.0255539
15.9,-3.376993E-02
15.95,-5.845925E-02
16,-0.0463671
16.05,-1.878403E-02
16.1,-9.422421E-03
16.15,-2.883602E-03
16.2,-1.742487E-02
16.25,-1.030146E-02
16.3,1.412802E-03
16.35,1.278451E-02
16.4,2.591785E-02
16.45,2.559924E-02
16.5,1.291984E-02
16.55,7.283212E-03
16.6,6.613739E-03
16.65,1.255572E-02
16.7,1.833169E-02
16.75,0.0145122
16.8,0.0244308
16.85,3.452971E-02
16.9,2.775333E-02
16.95,1.236096E-02
17,-4.874167E-03
17.05,-1.879527E-02
17.1,-2.645326E-02
17.15,-1.064602E-02
17.2,2.589658E-02
17.25,5.399759E-02
17.3,0.0554426
17.35,4.681867E-02
17.4,2.555227E-02
17.45,1.307047E-02
17.5,-1.158627E-02
17.55,1.951521E-03
17.6,2.360573E-02
17.65,3.360665E-02
17.7,3.762751E-02
17.75,3.533312E-02
17.8,3.561806E-02
17.85,4.047358E-02
17.9,3.283931E-02
17.95,2.442111E-02
18,2.216929E-02
18.05,3.322105E-02
18.1,0.0426891
18.15,4.561956E-02
18.2,0.038083
18.25,2.592432E-02
18.3,6.510765E-03
18.35,1.991504E-03
18.4,1.850621E-02
