Data File Name,2100 expert_mRNA Nano_DE13804677_2022-12-15_13-06-18.xad
Data File Path,C:\Users\BioAnalyzer\Desktop\Gel images\Carmen\100
Date Created,"Thursday, December 15, 2022 12:06:18 PM"
Date Last Modified,"Thursday, December 15, 2022 12:37:58 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,mRNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,mRNA Nano
Assay Version,2.5
 
Number of Samples Run,12
 
Sample Name,100T_0uM
Number of Events,1420
 
Time,Value
14,0.0447077
14.05,6.670551E-02
14.1,8.237496E-02
14.15,8.849986E-02
14.2,6.763148E-02
14.25,3.822531E-02
14.3,1.526703E-02
14.35,7.136458E-04
14.4,-1.724818E-02
14.45,0.0041927
14.5,3.432544E-02
14.55,5.933035E-02
14.6,0.0499817
14.65,5.790923E-02
14.7,4.572101E-02
14.75,1.354009E-02
14.8,-1.731777E-02
14.85,-2.984769E-02
14.9,-3.282944E-02
14.95,-2.151754E-02
15,-6.169605E-03
15.05,3.154627E-03
15.1,-1.117452E-02
15.15,-0.024817
15.2,-3.310383E-02
15.25,-5.228012E-02
15.3,-6.615589E-02
15.35,-4.451058E-02
15.4,-2.007313E-02
15.45,-3.689928E-03
15.5,1.203037E-03
15.55,-3.233316E-03
15.6,-1.650367E-02
15.65,-2.693923E-02
15.7,-1.014609E-02
15.75,3.267482E-02
15.8,2.586692E-02
15.85,1.380025E-02
15.9,-4.209918E-03
15.95,-1.797697E-02
16,-2.085554E-02
16.05,-0.0167315
16.1,5.967613E-03
16.15,2.410971E-02
16.2,1.914294E-02
16.25,1.196489E-02
16.3,1.583337E-02
16.35,1.899864E-02
16.4,1.891784E-02
16.45,1.412757E-02
16.5,1.030432E-02
16.55,7.34717E-03
16.6,-5.079987E-04
16.65,2.550541E-02
16.7,4.903908E-02
16.75,4.560237E-02
16.8,5.765292E-02
16.85,4.057529E-02
16.9,4.554354E-02
16.95,5.298876E-02
17,5.118448E-02
17.05,5.699904E-02
17.1,5.524573E-02
17.15,4.304849E-02
17.2,0.0368542
17.25,2.944875E-02
17.3,1.542759E-02
17.35,-1.232339E-02
17.4,-2.724127E-02
17.45,-1.615182E-02
17.5,0.0122167
17.55,4.508933E-02
17.6,6.105741E-02
17.65,3.636399E-02
17.7,5.672663E-03
17.75,-2.537412E-02
17.8,-1.073595E-02
17.85,1.230002E-02
17.9,2.685666E-02
17.95,2.200052E-02
18,2.661241E-03
18.05,-1.383754E-02
18.1,-1.666678E-02
18.15,-1.056845E-02
18.2,1.804389E-02
18.25,1.761107E-02
18.3,-2.806884E-03
18.35,-3.078994E-02
