Data File Name,2100 expert_mRNA Nano_DE13804677_2022-10-19_15-49-14.xad
Data File Path,F:\BPC\PAb_ME1_020
Date Created,"Wednesday, October 19, 2022 1:49:13 PM"
Date Last Modified,"Wednesday, October 19, 2022 2:19:41 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,mRNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,mRNA Nano
Assay Version,2.5
 
Number of Samples Run,12
 
Sample Name,Sample 4
Number of Events,1420
 
Time,Value
14,-2.364077E-02
14.05,-3.405883E-02
14.1,-2.928364E-02
14.15,-3.287301E-02
14.2,-3.504356E-02
14.25,-1.577372E-02
14.3,-1.130403E-02
14.35,-6.641127E-03
14.4,-6.928334E-03
14.45,-3.618403E-02
14.5,-6.859521E-02
14.55,-6.617209E-02
14.6,-0.0352931
14.65,9.372177E-05
14.7,3.783417E-02
14.75,6.498122E-02
14.8,5.563614E-02
14.85,3.397157E-02
14.9,2.419192E-02
14.95,1.256013E-02
15,5.804574E-03
15.05,2.495145E-02
15.1,2.131942E-02
15.15,-8.776097E-03
15.2,-7.228851E-03
15.25,-9.543275E-03
15.3,-2.294069E-02
15.35,-2.300982E-02
15.4,-3.100692E-02
15.45,-5.709481E-02
15.5,-6.512097E-02
15.55,-5.000134E-02
15.6,-2.200951E-02
15.65,-2.500756E-03
15.7,1.194719E-02
15.75,0.0123385
15.8,-4.090245E-04
15.85,-1.956203E-03
15.9,-7.341208E-03
15.95,-1.471002E-02
16,-1.833127E-02
16.05,-2.921566E-02
16.1,-0.0229559
16.15,-1.330573E-02
16.2,-6.818841E-04
16.25,1.728714E-02
16.3,0.0320213
16.35,5.615596E-02
16.4,5.322902E-02
16.45,6.628221E-02
16.5,6.744742E-02
16.55,0.0723434
16.6,7.472434E-02
16.65,6.408458E-02
16.7,5.711244E-02
16.75,3.766471E-02
16.8,8.846163E-03
16.85,1.246869E-02
16.9,2.324172E-02
16.95,4.754974E-02
17,4.650683E-02
17.05,0.0353357
17.1,1.779887E-02
17.15,-4.217056E-03
17.2,-1.696233E-02
17.25,-3.149492E-02
17.3,-3.328066E-02
17.35,-1.952724E-02
17.4,4.865304E-03
17.45,3.152922E-02
17.5,3.674036E-02
17.55,3.694629E-02
17.6,3.336707E-02
17.65,2.399489E-02
17.7,1.107775E-02
17.75,1.363939E-02
17.8,2.584891E-02
17.85,1.873059E-02
17.9,4.022027E-02
17.95,4.411321E-02
18,2.473134E-02
18.05,-5.240167E-03
18.1,-4.219909E-02
18.15,-5.537462E-02
18.2,-5.349341E-02
18.25,-4.650586E-02
18.3,-2.916624E-02
18.35,-1.563446E-02
18.4,5.886131E-03
18.45,1.306333E-02
18.5,7.400234E-03
18.55,9.847534E-03
18.6,-5.374601E-03
18.65,-3.400841E-02
18.7,-0.0539722
18.75,2.588701E-02
18.8,0.4247556
18.85,1.289999
18.9,2.526093
18.95,3.695927
19,4.337429
19.05,4.14868
19.1,3.2908
19.15,2.152727
19.2,1.159525
19.25,0.5035515
19.3,0.1574275
19.35,1.908069E-02
19.4,-1.934496E-02
19.45,-2.312269E-02
19.5,-1.309474E-02
19.55,1.194369E-02
19.6,4.032755E-02
19.65,6.460161E-02
19.7,7.198141E-02
19.75,5.734014E-02
19.8,4.632758E-02
19.85,0.0463073
19.9,6.682552E-02
19.95,0.1029575
20,0.1475279
20.05,0.168992
20.1,0.1763453
20.15,0.1560875
20.2,0.1464295
20.25,0.1373832
20.3,0.1458237
20.35,0.1836605
20.4,0.2040503
20.45,0.2113148
20.5,0.2409927
20.55,0.2592611
20.6,0.2887635
20.65,0.3227299
20.7,0.352094
20.75,0.3598838
20.8,0.3587944
20.85,0.374332
20.9,0.3915535
20.95,0.4090227
21,0.4274206
21.05,0.4413072
21.1,0.4505206
21.15,0.4713912
21.2,0.4951888
21.25,0.5063815
21.3,0.508482
21.35,0.4944523
21.4,0.4798867
21.45,0.4587613
21.5,0.4714776
21.55,0.4850335
21.6,0.488448
21.65,0.4953947
21.7,0.5024083
21.75,0.5318726
21.8,0.5440916
21.85,0.5308617
21.9,0.5082847
21.95,0.4758869
22,0.4385593
22.05,0.4193882
22.1,0.4262677
22.15,0.4435004
22.2,0.4472974
22.25,0.4525259
22.3,0.4624225
22.35,0.4513419
22.4,0.4257727
22.45,0.40999
22.5,0.3937431
22.55,0.3980675
22.6,0.3968313
22.65,0.4156303
22.7,0.4369632
22.75,0.4399531
22.8,0.4429663
22.85,0.4263752
22.9,0.4172646
22.95,0.4434762
23,0.451144
23.05,0.44834
23.1,0.4469599
23.15,0.4475695
23.2,0.445112
23.25,0.4358146
23.3,0.4441015
23.35,0.4369863
23.4,0.4104879
23.45,0.3954762
23.5,0.39629
23.55,0.4171569
23.6,0.4537003
23.65,0.4848546
23.7,0.510714
23.75,0.5155011
23.8,0.5249501
23.85,0.522835
